Dataset,Language,Metric,gemini-pro,gemma-7b-it,gemma-2b-it
belebele,arabic,accuracy,0.89,0.457,0.361
belebele,chinese_simplified,accuracy,0.914,0.577,0.412
belebele,chinese_traditional,accuracy,0.903,0.571,0.392
belebele,czech,accuracy,0.904,0.539,0.35
belebele,danish,accuracy,0.898,0.509,0.34
belebele,dutch,accuracy,0.889,0.491,0.359
belebele,english,accuracy,0.908,0.663,0.422
belebele,finnish,accuracy,0.893,0.478,0.348
belebele,french,accuracy,0.898,0.567,0.4
belebele,german,accuracy,0.888,0.553,0.347
belebele,hebrew,accuracy,0.88,0.447,0.317
belebele,hungarian,accuracy,0.882,0.46,0.291
belebele,italian,accuracy,0.893,0.563,0.373
belebele,japanese,accuracy,0.869,0.474,0.358
belebele,korean,accuracy,0.879,0.46,0.364
belebele,norwegian,accuracy,0.888,0.534,0.34
belebele,polish,accuracy,0.881,0.511,0.35
belebele,portuguese,accuracy,0.894,0.584,0.277
belebele,russian,accuracy,0.891,0.562,0.4
belebele,spanish,accuracy,0.893,0.578,0.392
belebele,swedish,accuracy,0.889,0.526,0.362
belebele,thai,accuracy,0.834,0.476,0.367
belebele,turkish,accuracy,0.841,0.414,0.32
gluecos_nli,english-hindi,accuracy,0.808,,
gluecos_sentiment,english-hindi,accuracy,0.294,,
indicqa,as,exact,,0.126,0.055
indicqa,as,f1,,0.191,0.066
indicqa,bn,exact,,0.149,0.029
indicqa,bn,f1,,0.219,0.045
indicqa,gu,exact,,0.201,0.096
indicqa,gu,f1,,0.222,0.101
indicqa,hi,exact,,0.218,0.018
indicqa,hi,f1,,0.32,0.059
indicqa,kn,exact,,0.174,0.116
indicqa,kn,f1,,0.218,0.126
indicqa,ml,exact,,0.126,0.03
indicqa,ml,f1,,0.156,0.04
indicqa,mr,exact,,0.164,0.039
indicqa,mr,f1,,0.225,0.055
indicqa,or,exact,,0.074,0.023
indicqa,or,f1,,0.075,0.023
indicqa,pa,exact,,0.15,0.051
indicqa,pa,f1,,0.194,0.077
indicqa,ta,exact,,0.181,0.024
indicqa,ta,f1,,0.243,0.056
indicqa,te,exact,,0.126,0.025
indicqa,te,f1,,0.152,0.034
mlqa,ar,exact_match,0.217,0.161,0.07
mlqa,ar,f1,0.389,0.303,0.165
mlqa,de,exact_match,0.463,0.4,0.16
mlqa,de,f1,0.614,0.56,0.311
mlqa,en,exact_match,0.664,0.535,0.207
mlqa,en,f1,0.782,0.72,0.434
mlqa,es,exact_match,0.484,0.342,0.172
mlqa,es,f1,0.699,0.584,0.366
mlqa,hi,exact_match,0.473,0.245,0.087
mlqa,hi,f1,0.633,0.407,0.184
mlqa,vi,exact_match,0.513,0.384,0.139
mlqa,vi,f1,0.71,0.605,0.32
mlqa,zh,exact_match,0.075,0.056,0.016
mlqa,zh,f1,0.103,0.091,0.051
panx,ar,f1-score,0.478,,
panx,bg,f1-score,0.453,,
panx,bn,f1-score,0.418,,
panx,de,f1-score,0.35,,
panx,el,f1-score,0.467,,
panx,en,f1-score,0.341,,
panx,es,f1-score,0.345,,
panx,et,f1-score,0.443,,
panx,fi,f1-score,0.463,,
panx,fr,f1-score,0.406,,
panx,he,f1-score,0.378,,
panx,hi,f1-score,0.452,,
panx,hu,f1-score,0.25,,
panx,id,f1-score,0.461,,
panx,it,f1-score,0.534,,
panx,ja,f1-score,0.061,,
panx,ko,f1-score,0.357,,
panx,lt,f1-score,0.55,,
panx,nl,f1-score,0.54,,
panx,pl,f1-score,0.493,,
panx,pt,f1-score,0.451,,
panx,ro,f1-score,0.407,,
panx,ru,f1-score,0.388,,
panx,sw,f1-score,0.575,,
panx,th,f1-score,0.011,,
panx,tr,f1-score,0.561,,
panx,uk,f1-score,0.377,,
panx,vi,f1-score,0.476,,
panx,zh,f1-score,0.079,,
pawsx,de,accuracy,0.769,0.516,0.548
pawsx,en,accuracy,0.8,0.579,0.549
pawsx,es,accuracy,0.764,0.57,0.538
pawsx,fr,accuracy,0.757,0.523,0.549
pawsx,ja,accuracy,0.673,0.456,
pawsx,ko,accuracy,0.657,0.458,
pawsx,zh,accuracy,0.724,0.483,0.538
tydiqa,ar,exact_match,0.541,0.376,0.159
tydiqa,ar,f1,0.637,0.617,0.436
tydiqa,bn,exact_match,0.664,0.327,0.044
tydiqa,bn,f1,0.751,0.521,0.205
tydiqa,en,exact_match,0.593,0.516,0.295
tydiqa,en,f1,0.712,0.682,0.519
tydiqa,fi,exact_match,0.607,0.535,0.308
tydiqa,fi,f1,0.688,0.68,0.491
tydiqa,id,exact_match,0.642,0.535,0.204
tydiqa,id,f1,0.75,0.713,0.436
tydiqa,ko,exact_match,0.656,0.525,0.228
tydiqa,ko,f1,0.74,0.645,0.394
tydiqa,ru,exact_match,0.489,0.314,0.156
tydiqa,ru,f1,0.608,0.525,0.397
tydiqa,sw,exact_match,0.731,0.629,0.447
tydiqa,sw,f1,0.797,0.751,0.574
udpos,ar,f1-score,0.239,,
udpos,bg,f1-score,0.704,,
udpos,de,f1-score,0.666,,
udpos,el,f1-score,0.309,,
udpos,en,f1-score,0.591,,
udpos,es,f1-score,0.241,,
udpos,et,f1-score,0.6,,
udpos,fi,f1-score,0.785,,
udpos,fr,f1-score,0.844,,
udpos,he,f1-score,0.512,,
udpos,hi,f1-score,0.477,,
udpos,hu,f1-score,0.345,,
udpos,id,f1-score,0.518,,
udpos,it,f1-score,0.613,,
udpos,ko,f1-score,0.445,,
udpos,lt,f1-score,0.525,,
udpos,nl,f1-score,0.629,,
udpos,pl,f1-score,0.805,,
udpos,pt,f1-score,0.502,,
udpos,ro,f1-score,0.464,,
udpos,ru,f1-score,0.545,,
udpos,tr,f1-score,0.755,,
udpos,uk,f1-score,0.426,,
udpos,vi,f1-score,0.752,,
udpos,zh,f1-score,0.449,,
xcopa,en,accuracy,0.99,,0.61
xcopa,et,accuracy,0.962,0.606,0.5
xcopa,ht,accuracy,,0.486,0.5
xcopa,id,accuracy,0.958,0.692,0.5
xcopa,it,accuracy,0.976,0.738,0.512
xcopa,qu,accuracy,,0.496,0.5
xcopa,sw,accuracy,0.9,0.496,0.5
xcopa,ta,accuracy,,0.506,0.5
xcopa,th,accuracy,0.95,0.614,0.498
xcopa,tr,accuracy,0.96,0.59,0.513
xcopa,vi,accuracy,,0.728,0.506
xcopa,zh,accuracy,,0.814,0.514
xnli,ar,accuracy,0.678,0.464,0.485
xnli,as,accuracy,,0.444,0.39
xnli,bg,accuracy,0.75,0.523,0.479
xnli,bn,accuracy,,0.475,0.408
xnli,de,accuracy,0.758,0.526,0.455
xnli,el,accuracy,0.727,0.498,0.471
xnli,en,accuracy,0.79,0.569,0.507
xnli,es,accuracy,0.765,0.52,0.469
xnli,fr,accuracy,0.735,0.527,0.442
xnli,gu,accuracy,,0.453,0.414
xnli,hi,accuracy,0.681,0.457,0.485
xnli,kn,accuracy,,0.462,0.395
xnli,ml,accuracy,,0.463,0.4
xnli,mr,accuracy,,0.438,0.408
xnli,or,accuracy,,0.337,0.329
xnli,pa,accuracy,,0.458,0.409
xnli,ru,accuracy,0.723,0.504,0.499
xnli,sw,accuracy,0.671,0.433,0.389
xnli,ta,accuracy,,0.456,0.412
xnli,te,accuracy,,0.458,0.421
xnli,th,accuracy,0.62,0.487,0.467
xnli,tr,accuracy,0.722,0.468,0.453
xnli,ur,accuracy,,0.438,0.45
xnli,vi,accuracy,0.679,0.49,0.496
xnli,zh,accuracy,0.661,0.474,0.524
xquad,ar,exact_match,0.527,0.243,0.022
xquad,ar,f1,0.688,0.424,0.148
xquad,de,exact_match,0.567,0.418,0.049
xquad,de,f1,0.737,0.606,0.182
xquad,el,exact_match,0.524,0.283,0.07
xquad,el,f1,0.679,0.444,0.177
xquad,en,exact_match,0.722,0.563,0.068
xquad,en,f1,0.831,0.733,0.24
xquad,es,exact_match,0.596,0.382,0.034
xquad,es,f1,0.771,0.646,0.197
xquad,hi,exact_match,0.572,0.256,0.03
xquad,hi,f1,0.716,0.414,0.108
xquad,ro,exact_match,0.622,0.413,0.027
xquad,ro,f1,0.752,0.599,0.178
xquad,ru,exact_match,0.473,0.312,0.026
xquad,ru,f1,0.629,0.514,0.146
xquad,th,exact_match,0.628,0.297,0.093
xquad,th,f1,0.689,0.422,0.176
xquad,tr,exact_match,0.514,0.232,0.03
xquad,tr,f1,0.679,0.447,0.15
xquad,vi,exact_match,0.594,0.415,0.049
xquad,vi,f1,0.77,0.647,0.229
xquad,zh,exact_match,0.559,0.334,0.045
xquad,zh,f1,0.594,0.405,0.125
xstory_cloze,ar,accuracy,0.969,,0.647
xstory_cloze,en,accuracy,0.987,0.899,0.766
xstory_cloze,es,accuracy,0.983,0.907,0.691
xstory_cloze,eu,accuracy,,0.674,0.531
xstory_cloze,hi,accuracy,0.976,0.721,0.643
xstory_cloze,id,accuracy,0.975,0.793,0.659
xstory_cloze,my,accuracy,,0.34,0.558
xstory_cloze,ru,accuracy,0.976,0.844,0.653
xstory_cloze,sw,accuracy,0.961,0.604,0.547
xstory_cloze,te,accuracy,,0.411,0.544
xstory_cloze,zh,accuracy,0.974,0.867,0.711
