Dataset,Task,Language,Language Tier,Language Code,Language Class,Language Script,DV003 Monolingual,DV003 TranslateTest,DV003 Zero-Shot Cross Lingual,GPT-3.5-Turbo Monolingual,GPT-3.5-Turbo Translate-Test,GPT-3.5-Turbo Zero-Shot Cross Lingual,GPT-4 Monolingual,GPT-4 Translate-Test,GPT-4 Zero-Shot Cross Lingual,TULRv6,BLOOMZ,XLM-R,mBERT,MuRIL,XGLM,mT5,PaLM2 Zero-Shot,PaLM2 Monolingual,Llama2-7B Monolingual,Llama2-13B Monolingual,Llama2-70B Monolingual,LLaVa-1.5-13B Monolingual,LLaVa-1.5-13B Translate-Test,Bing Translator,Google Translator,Systran,Metrics,Direction
Belebele,Multiple Choice Reading Comprehension,English,0,en,5,Latin,NA,NA,NA,0.877,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.922222222,NA,NA,0.788,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Spanish,1,es,5,Latin,NA,NA,NA,0.792,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,0.684,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Finnish,2,fi,5,Latin,NA,NA,NA,0.779,NA,NA,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.865555556,NA,NA,0.627,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,French,1,fr,5,Latin,NA,NA,NA,0.831,NA,NA,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882222222,NA,NA,0.722,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Hebrew,2,he,3,Hebrew,NA,NA,NA,0.642,NA,NA,0.8689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.414,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Hungarian,2,hu,4,Latin,NA,NA,NA,0.746,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA,0.611,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Italian,1,it,4,Latin,NA,NA,NA,0.8,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863333333,NA,NA,0.684,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Japanese,1,ja,5,Ideograms,NA,NA,NA,0.709,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841111111,NA,NA,0.566,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Korean,2,ko,4,Hangul,NA,NA,NA,0.671,NA,NA,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,0.563,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Dutch,2,nl,4,Latin,NA,NA,NA,0.804,NA,NA,0.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873333333,NA,NA,0.662,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Norwegian,,no,,Latin,NA,NA,NA,0.79,NA,NA,0.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882222222,NA,NA,0.657,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Polish,2,pl,4,Latin,NA,NA,NA,0.747,NA,NA,0.8522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.876666667,NA,NA,0.617,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Portuguese,,pt,4,Latin,NA,NA,NA,0.83,NA,NA,0.7878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884444444,NA,NA,0.702,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Russian,2,ru,4,Cyrillic,NA,NA,NA,0.784,NA,NA,0.9055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.874444444,NA,NA,0.67,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Swedish,,sv,,Latin,NA,NA,NA,0.817,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871111111,NA,NA,0.674,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Thai,2,th,3,Brahmic,NA,NA,NA,0.557,NA,NA,0.8389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808888889,NA,NA,0.389,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Turkish,2,tr,4,Latin,NA,NA,NA,0.699,NA,NA,0.7844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,0.473,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Chinese_Simplified,,zh-Hans,5,Chinese,NA,NA,NA,0.776,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867777778,NA,NA,0.624,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Chinese_Traditional,,zh-Hant,5,Chinese,NA,NA,NA,0.763,NA,NA,0.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868888889,NA,NA,0.593,NA,NA,NA,NA,NA,Accuracy,HigherBetter
GLUECoS-NLI,Natural Language Inference,English-Hindi,,en-hi,NA,Latin-Devanagari,0.72098,NA,NA,0.7879,NA,NA,0.904,NA,NA,NA,NA,NA,0.631,NA,NA,NA,NA,0.82815,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
GLUECoS-SA,Sentiment Analysis,English-Spanish,,en-es,NA,Latin,0.688312,NA,NA,0.679654,NA,NA,0.4545,NA,NA,NA,NA,NA,0.6931,NA,NA,NA,NA,0.5151,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
IN22,Machine Translation,Assamese,,as,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Bengali,,bn,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,English,0,en,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Gujarati,,gu,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Hindi,,hi,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Kashmiri,,ka,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Kannada,,kn,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Malayalam,,ml,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Marathi,,mr,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Nepali,,np,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Oriya,,or,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Punjabi,,pa,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Tamil,,ta,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Telugu,,te,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IN22,Machine Translation,Urdu,,ur,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,
IndicQA,Question Answering,Assamese,,as,1,Brahmic,NA,NA,0.06695625,NA,NA,0.353162,NA,NA,0.587567302,NA,0.406047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
IndicQA,Question Answering,Bengali,,bn,3,Brahmic,NA,NA,0.1029693,NA,NA,0.4952111,NA,NA,0.670760068,NA,0.429121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
IndicQA,Question Answering,Gujarati,,gu,1,Devanagari,NA,NA,0.05371455,NA,NA,0.4051011,NA,NA,0.594150908,NA,0.372028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
IndicQA,Question Answering,Hindi,,hi,4,Devanagari,NA,NA,0.1678301,NA,NA,0.5591712,NA,NA,0.751598262,NA,0.439632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
IndicQA,Question Answering,Kannada,,kn,1,Brahmic,NA,NA,0.07100699,NA,NA,0.3525433,NA,NA,0.470695133,NA,0.378116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
IndicQA,Question Answering,Malayalam,,ml,1,Brahmic,NA,NA,0.03573575,NA,NA,0.2998412,NA,NA,0.483347818,NA,0.304828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
IndicQA,Question Answering,Marathi,,mr,2,Devanagari,NA,NA,0.1455235,NA,NA,0.5000891,NA,NA,0.607124128,NA,0.392237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
IndicQA,Question Answering,Oriya,,or,1,Brahmic,NA,NA,0.06858099,NA,NA,0.22116,NA,NA,0.299285478,NA,0.253877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
IndicQA,Question Answering,Punjabi,,pa,2,Gurmukhi,NA,NA,0.1065401,NA,NA,0.3579964,NA,NA,0.561424042,NA,0.263518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
IndicQA,Question Answering,Tamil,,ta,3,Brahmic,NA,NA,0.04204114,NA,NA,0.3271673,NA,NA,0.540304854,NA,0.39706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
IndicQA,Question Answering,Telugu,,te,1,Brahmic,NA,NA,0.0681848,NA,NA,0.3292168,NA,NA,0.478933927,NA,0.388902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
IndicXNLI,Natural Language Inference,Assamese,,as,1,Brahmic,0.485828343,0.55988024,0.41996008,0.49500998,0.542914172,NA,0.635329341,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
IndicXNLI,Natural Language Inference,Bengali,,bn,3,Brahmic,0.525548902,0.660479042,0.451896208,0.535728543,0.616367265,NA,0.721556886,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
IndicXNLI,Natural Language Inference,Gujarati,,gu,1,Devanagari,0.512175649,0.647305389,0.457085828,0.506187625,0.618363273,NA,0.669261477,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
IndicXNLI,Natural Language Inference,Hindi,,hi,4,Devanagari,0.568862275,0.625748503,0.487225549,0.554690619,0.596007984,NA,0.716566866,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
IndicXNLI,Natural Language Inference,Kannada,,kn,1,Brahmic,0.490618762,0.639321357,0.447904192,0.539121756,0.608383234,NA,0.690419162,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
IndicXNLI,Natural Language Inference,Malayalam,,ml,1,Brahmic,0.482235529,0.618163673,0.432135729,0.484431138,0.598602794,NA,0.643313373,NA,NA,NA,NA,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
IndicXNLI,Natural Language Inference,Marathi,,mr,2,Devanagari,0.494011976,0.609381238,0.484431138,0.498802395,0.587025948,NA,0.662075848,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
IndicXNLI,Natural Language Inference,Oriya,,or,1,Brahmic,0.464071856,0.608183633,0.396407186,0.474251497,0.584830339,NA,0.610578842,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
IndicXNLI,Natural Language Inference,Punjabi,,pa,2,Gurmukhi,0.503792415,0.646706587,0.495209581,0.536327345,0.622954092,NA,0.711377246,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
IndicXNLI,Natural Language Inference,Tamil,,ta,3,Brahmic,0.455289421,0.61756487,0.437325349,0.481636727,0.582834331,NA,0.637325349,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
IndicXNLI,Natural Language Inference,Telugu,,te,1,Brahmic,0.471656687,0.631137725,0.426347305,0.474051896,0.608183633,NA,0.64750499,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Jigsaw,Toxicity Classification,Spanish,1,es,5,Latin,NA,0.79,0.79,NA,0.74,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.886,0.8968,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Jigsaw,Toxicity Classification,French,1,fr,5,Latin,NA,0.73,0.75,NA,0.70,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8411,0.8794,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Jigsaw,Toxicity Classification,Italian,1,it,4,Latin,0.82,0.79,0.81,0.75,0.77,0.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Jigsaw,Toxicity Classification,Portuguese,,pt,4,Latin,NA,0.75,0.82,NA,0.73,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8768,0.9205,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Jigsaw,Toxicity Classification,Russian,2,ru,4,Cyrillic,NA,0.80,0.79,NA,0.74,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.905,0.9425,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Jigsaw,Toxicity Classification,Turkish,2,tr,4,Latin,0.92,0.93,0.94,0.91,0.83,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9342,0.9434,NA,NA,NA,NA,NA,NA,NA,NA,Accuracy,HigherBetter
MARVL,Visual Question Answering,Indonesian,3,id,3,Latin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473694188,0.405634594,NA,NA,NA,F1 Score,HigherBetter
MARVL,Visual Question Answering,Swahili,,sw,2,Latin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.240687748,0.412909195,NA,NA,NA,F1 Score,HigherBetter
MARVL,Visual Question Answering,Tamil,,ta,3,Brahmic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15385439,0.408503718,NA,NA,NA,F1 Score,HigherBetter
MARVL,Visual Question Answering,Turkish,2,tr,4,Latin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248745637,0.424134358,NA,NA,NA,F1 Score,HigherBetter
MARVL,Visual Question Answering,Chinese,,zh,5,Chinese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234926768,0.411116684,NA,NA,NA,F1 Score,HigherBetter
MLQA,Question Answering,Arabic,2,ar,5,Arabic,0.383942555,0.481749163,NA,0.4846201,0.3781843,NA,0.591301081,NA,0.606489436,0.7622,NA,0.666,0.523,NA,NA,0.571,NA,0.413572648,0.052374838,0.550194606,0.04095,NA,NA,NA,NA,NA,F1 Score,HigherBetter
MLQA,Question Answering,German,1,de,5,Latin,0.577214475,0.534710542,NA,0.510087,0.4434106,NA,0.647076666,NA,0.663711157,0.8017,NA,0.701,0.59,NA,NA,0.621,NA,0.61969496,0.445332771,0.731276821,0.4213,NA,NA,NA,NA,NA,F1 Score,HigherBetter
MLQA,Question Answering,English,0,en,5,Latin,0.747958733,0.747958733,NA,0.7276637,0.7276637,NA,0.803407912,NA,0.803407912,0.8659,NA,0.835,0.802,NA,NA,0.817,NA,0.821276407,0.695625738,0.622377165,0.5606,NA,NA,NA,NA,NA,F1 Score,HigherBetter
MLQA,Question Answering,Spanish,1,es,5,Latin,0.6285966,0.629269293,NA,0.5382413,0.5412268,NA,0.699597307,NA,0.717801038,0.8174,NA,0.741,0.674,NA,NA,0.671,NA,0.690553289,0.518949848,0.6223,0.3446,NA,NA,NA,NA,NA,F1 Score,HigherBetter
MLQA,Question Answering,Hindi,,hi,4,Devanagari,0.249403296,0.491503366,NA,0.5074836,0.3733353,NA,0.573362174,NA,0.618264861,0.8218,NA,0.706,0.502,NA,NA,0.554,NA,0.502120258,0.0049,0.004,0.008,NA,NA,NA,NA,NA,F1 Score,HigherBetter
MLQA,Question Answering,Vietnamese,3,vi,4,Latin,0.4771298,0.509583552,NA,0.5893296,0.4160629,NA,0.721540155,NA,0.716180318,0.8232,NA,0.74,0.612,NA,NA,0.659,NA,0.721598339,0.424840407,0.0912,0.2689,NA,NA,NA,NA,NA,F1 Score,HigherBetter
MLQA,Question Answering,Chinese,,zh,5,Chinese,0.323466446,0.452333926,NA,0.567075,0.365022,NA,0.67105091,NA,0.67776594,0.7808,NA,0.621,0.596,NA,NA,0.616,NA,0.117144398,0.07030788,0.091229212,0.05297,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Afrikaans,,af,3,Latin,NA,NA,NA,0.438108814,NA,NA,0.559340075,NA,NA,NA,NA,0.786439,0.761194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Arabic,2,ar,5,Arabic,NA,NA,NA,0.454242312,NA,NA,0.593949045,NA,NA,NA,NA,0.472852,0.428934,NA,NA,NA,NA,0.4423,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Azerbaijani,,az,1,Latin,NA,NA,NA,0.420898151,NA,NA,0.595744681,NA,NA,NA,NA,0.693848,0.654843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Bulgarian,3,bg,3,Cyrillic,NA,NA,NA,0.516334201,NA,NA,0.626070409,NA,NA,NA,NA,0.80944,0.766829,NA,NA,NA,NA,0.4963,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Bengali,,bn,3,Brahmic,NA,NA,NA,0.402737752,NA,NA,0.52659778,NA,NA,NA,NA,0.747223,0.696837,NA,NA,NA,NA,0.4182,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,German,1,de,5,Latin,NA,NA,NA,0.527317373,NA,NA,0.692072133,NA,NA,NA,NA,0.80703,0.794693,NA,NA,NA,NA,0.397,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Greek,3,el,3,Greek,NA,NA,NA,0.410130719,NA,NA,0.544054221,NA,NA,NA,NA,0.791683,0.708772,NA,NA,NA,NA,0.5615,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,English,0,en,5,Latin,NA,NA,NA,0.4315197,NA,NA,0.497188517,NA,NA,NA,NA,0.854093,0.864365,NA,NA,NA,NA,0.3584,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Spanish,1,es,5,Latin,NA,NA,NA,0.601814882,NA,NA,0.685844058,NA,NA,NA,NA,0.717908,0.753091,NA,NA,NA,NA,0.3728,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Estonian,3,et,3,Latin,NA,NA,NA,0.587242026,NA,NA,0.744459834,NA,NA,NA,NA,0.787001,0.757751,NA,NA,NA,NA,0.5048,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Basque,,eu,4,Latin,NA,NA,NA,0.315140009,NA,NA,0.5783638,NA,NA,NA,NA,0.615682,0.644383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Persian,,fa,4,Perso-Arabic,NA,NA,NA,0.39308,NA,NA,0.675767918,NA,NA,NA,NA,0.55218,0.400172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Finnish,2,fi,4,Latin,NA,NA,NA,0.59141791,NA,NA,0.710643722,NA,NA,NA,NA,0.795978,0.765729,NA,NA,NA,NA,0.5393,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,French,1,fr,5,Latin,NA,NA,NA,0.507426493,NA,NA,0.68450987,NA,NA,NA,NA,0.797721,0.796322,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Gujarati,,gu,1,Devanagari,NA,NA,NA,0.183941606,NA,NA,0.237785016,NA,NA,NA,NA,0.627063,0.512658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Hebrew,2,he,3,Hebrew,NA,NA,NA,0.342964152,NA,NA,0.480120482,NA,NA,NA,NA,0.554996,0.561854,NA,NA,NA,NA,0.3698,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
PAN-X,Name Entity Recognition,Hindi,,hi,4,Devanagari,NA,NA,NA,0.454849498,NA,NA,0.594121763,NA,NA,NA,NA,0.709375,0.658942,NA,NA,NA,NA,0.4896,NA,NA,NA,NA,NA,NA,NA,NA,F1 Score,HigherBetter
